"region","latitude","longitude"
"R1",42.9261333333333,-71.5793333333333
"R2",41.23185,-74.72365
"R3",39.0219833333333,-77.6284166666667
"R4",33.6575375,-84.250525
"R5",42.3189833333333,-87.69275
"R6",33.5225,-97.01302
"R7",40.026725,-95.1512
"R8",43.4419833333333,-105.661916666667
"R9",32.367725,-126.446725
"R10",49.395825,-127.619075
