.id,formula,exportDate,RV,effectType,mean,sd,q_025,q_5,q_975,mode,kld
wksToEpi,iid,2017-10-21,(Intercept),fixed,0.02850706342739048,0.028813189878782713,-0.02811408469370823,0.0285224487091494,0.08499148796603648,0.028555759556613054,2.0195349428598882e-8
wksToEpi,iid,2017-10-21,Precision for the Gaussian observations,hyperpar,0.12314552819939176,0.00131092555245468,0.12058778903141296,0.12313862347108197,0.12574510223902596,0.12312567233124962,NA
wksToEpi,iid,2017-10-21,Precision for graphIdx,hyperpar,0.7209211161626881,0.03543214553415863,0.6543036683562147,0.7198933310676553,0.7933723967630695,0.7176563496423146,NA
wksToEpi,iid,2017-10-21,error1,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error2,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error3,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error4,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error5,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error6,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error7,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error8,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error9,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error10,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error11,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error12,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error13,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error14,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error15,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error16,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error17,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error18,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error19,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error20,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error21,random,0.3557116362211823,0.8655043778199072,-1.343324215049331,0.35556406037670396,2.053985653852935,0.3553408792727713,4.596284233640904e-9
wksToEpi,iid,2017-10-21,error22,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error23,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error24,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error25,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error26,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error27,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
wksToEpi,iid,2017-10-21,error28,random,0.6072366389160488,0.7953842297499005,-0.9540272972767292,0.6070706316227349,2.1679733134057857,0.6068044268616448,6.193260767238789e-9
