.id,formula,exportDate,dic,cpo,cpoFail
wksToEpi,iid,2017-10-21,104122.75513642278,-52105.314310132075,0
wksToPeak,iid,2017-10-21,91236.75945803686,-45621.09770081962,0
earlyILI,iid,2017-10-21,58426.60854734413,-29281.619836276073,0
peakILI,iid,2017-10-21,31582.270090301055,-15918.774696893532,0
