.id,formula,exportDate,RV,effectType,mean,sd,q_025,q_5,q_975,mode,kld
timing_st,iid,2017-10-21,(Intercept),fixed,-0.2716469919338582,0.04185007924159699,-0.35380505469468976,-0.27165266827817947,-0.18953266250194503,-0.2716605308723335,3.18437301696881e-9
timing_st,iid,2017-10-21,Precision for the Gaussian observations,hyperpar,0.043881711607980885,4.674524977182487e-4,0.04296389432227523,0.04388121299751588,0.04480472790978858,0.043883486045535644,NA
timing_st,iid,2017-10-21,Precision for graphIdx,hyperpar,0.4856626106870714,0.03513720839609322,0.42354244905165045,0.48313005885484295,0.5612178115447498,0.4764799856112196,NA
timing_st,iid,2017-10-21,error1,random,0.7141409626236733,1.123972860977727,-1.4910947172803206,0.7134521172348094,2.9211483542201107,0.712157932063158,1.1140698198640049e-8
timing_st,iid,2017-10-21,error2,random,0.9909096161997334,1.1243965116972345,-1.2144061774520178,0.9899659241062044,3.199415198837531,0.9881574318053654,2.0090352579676073e-8
timing_st,iid,2017-10-21,error3,random,-0.5589948645668195,1.1238024146601107,-2.7673351043186143,-0.5585064785519911,1.6445968784342204,-0.5574253927462062,7.905133555402306e-9
timing_st,iid,2017-10-21,error4,random,0.6587872321175839,1.1239046405994837,-1.546464797479121,0.6581494496800888,2.865527137790446,0.6569583042058842,9.819783235834908e-9
timing_st,iid,2017-10-21,error5,random,0.6034335051904653,1.1238419541908131,-1.6018457122576477,0.6028468122018339,2.809916713776227,0.6017587568669236,8.634853260196154e-9
timing_st,iid,2017-10-21,error6,random,0.9909096161997334,1.1243965116972345,-1.2144061774520178,0.9899659241062044,3.199415198837531,0.9881574318053654,2.0090352579676073e-8
timing_st,iid,2017-10-21,error7,random,0.27131111678554976,1.1235820048539777,-1.9343584022736886,0.2710313937204981,2.4764809341662426,0.270562724829327,4.0180062511247004e-9
timing_st,iid,2017-10-21,error8,random,-0.060811276926049165,1.1235209872132064,-2.267259184784779,-0.060783639968551524,2.14343439472284,-0.06063212645517743,3.00493647444679e-9
timing_st,iid,2017-10-21,error9,random,-1.0571784331011527,1.1245310811945701,-3.2682761944290153,-1.0562310756973303,1.1466410235716664,-1.0542240273926895,2.3207734535468335e-8
timing_st,iid,2017-10-21,error10,random,0.9909096161997334,1.1243965116972345,-1.2144061774520178,0.9899659241062044,3.199415198837531,0.9881574318053654,2.0090352579676073e-8
timing_st,iid,2017-10-21,error11,random,0.9909096161997334,1.1243965116972345,-1.2144061774520178,0.9899659241062044,3.199415198837531,0.9881574318053654,2.0090352579676073e-8
timing_st,iid,2017-10-21,error12,random,-1.0571784331011527,1.1245310811945701,-3.2682761944290153,-1.0562310756973303,1.1466410235716664,-1.0542240273926895,2.3207734535468335e-8
timing_st,iid,2017-10-21,error13,random,-0.17151874123953628,1.1235448486206745,-2.378312114744862,-0.17138864512111093,2.032505566856786,-0.17103039770737394,3.398767730678696e-9
timing_st,iid,2017-10-21,error14,random,-0.17151874123953628,1.1235448486206745,-2.378312114744862,-0.17138864512111093,2.032505566856786,-0.17103039770737394,3.398767730678696e-9
timing_st,iid,2017-10-21,error15,random,0.6034335051904653,1.1238419541908131,-1.6018457122576477,0.6028468122018339,2.809916713776227,0.6017587568669236,8.634853260196154e-9
timing_st,iid,2017-10-21,error16,random,-0.33757993776387896,1.1236220558150871,-2.5449719339169796,-0.3372962066273841,1.8661937008478398,-0.3366279926025307,4.700778673011086e-9
timing_st,iid,2017-10-21,error17,random,0.6034335051904653,1.1238419541908131,-1.6018457122576477,0.6028468122018339,2.809916713776227,0.6017587568669236,8.634853260196154e-9
timing_st,iid,2017-10-21,error18,random,-0.5589948645668195,1.1238024146601107,-2.7673351043186143,-0.5585064785519911,1.6445968784342204,-0.5574253927462062,7.905133555402306e-9
timing_st,iid,2017-10-21,error19,random,-0.2822262063541186,1.1235907639296834,-2.4894078806666142,-0.2819936767332741,1.9216200646950647,-0.2814287614182351,4.16848334709464e-9
timing_st,iid,2017-10-21,error20,random,0.6034335051904653,1.1238419541908131,-1.6018457122576477,0.6028468122018339,2.809916713776227,0.6017587568669236,8.634853260196154e-9
timing_st,iid,2017-10-21,error21,random,0.2090854155877203,1.1915479644031486,-2.1301850652993806,0.20880758600348953,2.5477122214691756,0.20834868733452835,6.10895986328055e-9
timing_st,iid,2017-10-21,error22,random,0.2713111157837358,1.1235819916024528,-1.934358377872232,0.2710313921777265,2.4764809108655097,0.2705627221673918,4.0181786650267035e-9
timing_st,iid,2017-10-21,error23,random,-0.8357635161107687,1.1241520965613068,-3.0455293442068525,-0.8350198231300631,1.3678457982371217,-0.8334236813652535,1.4777711601292158e-8
timing_st,iid,2017-10-21,error24,random,-0.17151874123953628,1.1235448486206745,-2.378312114744862,-0.17138864512111093,2.032505566856786,-0.17103039770737394,3.398767730678696e-9
timing_st,iid,2017-10-21,error25,random,0.7694946928449278,1.1240465351080993,-1.4357353205372934,0.7687548117680669,2.9767802017964833,0.7673576395591077,1.2606075592151212e-8
timing_st,iid,2017-10-21,error26,random,-0.17151874160426106,1.1235448855826207,-2.378312188135241,-0.17138864544669347,2.032505638848708,-0.17103039792796157,3.398589651647547e-9
timing_st,iid,2017-10-21,error27,random,0.5480797737179685,1.1237848672189492,-1.6572375926021263,0.547544194635907,2.754317208222072,0.5465592763384944,7.578923951192195e-9
timing_st,iid,2017-10-21,error28,random,0.6034335051904653,1.1238419541908131,-1.6018457122576477,0.6028468122018339,2.809916713776227,0.6017587568669236,8.634853260196154e-9
